13.55,12.67
9.16,13.35
7.05,11.87
3.51,11.51
1.80,11.01
2.42,11.21
11.12,13.23
14.61,12.17
13.93,12.57
14.82,11.99
17.59,11.39
11.32,13.13
10.33,13.40
2.05,11.12
15.44,11.79
16.51,11.52
1.97,11.08
4.56,11.68
6.70,11.81
1.70,10.98
6.17,11.81
5.78,11.66
2.85,11.40
2.68,11.30
6.38,11.69
6.52,11.69
11.84,13.08
11.62,13.11
17.64,11.39
0.86,9.44
9.60,13.43
6.02,11.77
0.93,9.55
8.25,12.97
16.78,11.43
3.80,11.61
7.19,12.08
16.66,11.42
17.31,11.32
12.22,13.02
2.80,11.38
17.06,11.42
2.69,11.31
0.94,9.57
17.12,11.44
17.10,11.44
15.54,11.74
4.88,11.61
9.03,13.38
16.72,11.42
8.05,12.80
6.99,11.87
4.66,11.66
16.36,11.51
17.64,11.41
8.96,13.30
1.35,10.70
7.80,12.66
2.81,11.39
10.35,13.37
14.36,12.35
8.17,12.90
14.71,12.07
7.02,11.87
2.30,11.18
13.18,12.82
17.78,11.29
11.66,13.10
2.95,11.46
11.01,13.30
17.77,11.42
12.85,12.91
17.69,11.27
8.76,13.29
0.84,9.46
17.60,11.37
0.88,9.55
0.93,9.74
0.94,9.86
0.90,9.55
6.28,11.81
0.99,10.11
10.57,13.40
2.45,11.23
1.62,10.96
17.65,11.42
17.91,11.36
0.91,9.55
12.41,13.02
15.57,11.72
17.74,11.46
0.98,10.08
8.14,12.85
13.97,12.56
5.11,11.62
3.81,11.61
11.70,13.09
1.02,10.17
5.90,11.70
17.72,11.29
2.48,11.23
1.03,10.16
9.09,13.34
17.50,11.33
15.94,11.62
1.28,10.62
11.65,13.10
4.40,11.70
10.97,13.32
6.11,11.72
10.70,13.36
2.15,11.13
6.93,11.76
6.62,11.86
17.67,11.41
3.04,11.50
7.06,11.92
0.84,9.51
3.79,11.60
1.07,10.28
15.04,11.90
0.95,9.96
17.59,11.28
3.01,11.49
5.73,11.72
17.69,11.48
17.07,11.46
0.89,9.55
10.88,13.34
17.85,11.46
2.49,11.24
10.74,13.32
6.72,11.85
8.93,13.34
11.12,13.24
10.81,13.36
1.49,10.86
8.38,13.06
17.66,11.48
0.94,9.70
17.40,11.29
17.97,11.53
7.06,11.86
11.75,13.08
12.85,12.92
9.09,13.37
7.16,12.05
17.65,11.27
17.56,11.40
1.38,10.74
6.84,11.86
17.36,11.29
16.98,11.46
17.24,11.33
11.15,13.25
16.75,11.46
6.37,11.75
1.27,10.60
0.85,9.44
12.51,12.97
11.28,13.22
17.73,11.47
6.06,11.80
6.40,11.76
5.14,11.59
4.10,11.64
17.93,11.46
17.62,11.50
6.55,11.78
1.96,11.08
0.94,9.76
4.48,11.69
17.83,11.48
5.82,11.70
12.12,13.02
5.06,11.55
17.34,11.31
1.77,11.00
2.24,11.17
7.00,11.86
16.81,11.53
8.55,13.12
17.72,11.24
3.21,11.50
17.67,11.47
11.02,13.31
0.91,9.55
17.57,11.32
5.80,11.67
8.97,13.33
0.94,9.97
16.01,11.59
11.16,13.28
17.81,11.48
6.16,11.72
0.89,9.57
18.07,11.40
2.90,11.43
17.28,11.33
7.53,12.43
11.25,13.22
8.48,13.15
17.83,11.42
17.66,11.49
11.45,13.18
17.61,11.35
10.95,13.30
1.54,10.92
16.15,11.55
17.75,11.43
17.84,11.28
17.65,11.39
1.14,10.38
6.16,11.83
7.74,12.55
7.76,12.59
17.81,11.33
0.85,9.54
17.67,11.37
17.69,11.51
17.26,11.33
6.23,11.81
14.27,12.37
11.56,13.14
14.47,12.21
6.99,11.85
17.71,11.44
11.19,13.24
2.49,11.23
8.44,13.07
3.68,11.53
7.04,11.84
10.14,13.43
1.42,10.83
1.75,11.00
5.29,11.63
9.64,13.45
18.03,11.38
7.31,12.13
17.64,11.34
4.12,11.71
5.74,11.69
3.59,11.52
2.91,11.44
5.57,11.67
2.53,11.25
