1.41,9.89
6.02,11.17
1.82,10.46
12.26,8.86
9.61,3.04
12.28,6.11
2.00,10.56
6.81,11.14
7.77,11.41
12.73,7.93
0.94,8.93
3.10,11.08
1.04,9.08
9.75,3.09
4.53,11.43
0.98,8.96
2.87,10.98
1.23,9.60
2.86,10.99
3.07,11.07
0.83,8.75
9.36,11.01
1.21,9.63
6.50,11.08
3.91,11.63
10.09,3.31
12.81,7.18
0.97,8.93
10.85,3.75
12.62,5.97
8.90,11.43
12.76,7.41
11.88,4.51
2.28,10.77
1.05,9.24
1.67,10.24
11.59,4.46
5.36,11.25
1.02,9.07
0.96,8.95
3.25,11.20
10.83,3.73
12.55,5.71
1.16,9.54
1.00,8.98
10.45,10.62
4.25,11.45
2.06,10.59
12.50,5.56
7.10,11.22
9.62,3.03
12.43,5.43
1.25,9.66
9.66,3.04
5.24,11.27
9.74,3.08
12.47,6.43
9.89,3.17
6.63,11.12
9.76,2.97
1.35,9.77
1.09,9.39
1.71,10.32
11.64,9.82
2.73,11.01
2.39,10.77
12.33,8.75
12.83,5.28
10.55,3.57
1.12,9.47
3.43,11.40
12.09,9.39
3.62,11.56
12.27,4.75
2.90,10.99
1.59,10.07
10.51,3.55
9.53,10.95
4.00,11.55
1.43,9.88
1.65,10.18
5.63,11.19
3.50,11.46
11.32,4.01
6.74,11.12
1.09,9.38
8.23,11.53
1.33,9.71
1.42,9.85
4.06,11.52
12.33,8.82
5.51,11.22
9.61,3.00
2.49,10.85
9.90,2.96
0.84,8.87
11.00,3.82
3.45,11.39
7.23,11.27
3.87,11.57
1.78,10.43
9.92,10.56
8.45,11.49
9.63,3.05
0.87,8.75
3.58,11.56
0.84,8.74
0.95,8.94
2.54,10.85
11.22,10.05
9.71,2.99
1.01,9.05
5.15,11.30
2.34,10.79
9.13,11.05
9.70,2.98
7.89,11.41
9.22,11.32
10.06,3.30
10.12,10.43
0.96,8.95
1.24,9.62
8.85,11.54
7.23,11.29
3.22,11.18
6.00,11.15
12.98,6.53
8.36,11.56
3.52,11.49
2.42,10.79
1.60,10.07
1.06,9.31
6.86,11.15
1.15,9.53
0.86,8.83
7.95,11.44
10.47,3.51
